"Datum";"Omschrijving";"Bedrag";"Plaats";"Land"
"04-01-2026";"NETFLIX.COM";"14,53";"AMSTERDAM";"NLD"
"04-01-2026";"SPOTIFY AB";"13,08";"AMSTERDAM";"NLD"
"05-01-2026";"OPENAI *CHATGPT SUBSCR";"20,80";"AMSTERDAM";"NLD"
"05-01-2026";"ANTHROPIC CLAUDE";"18,72";"AMSTERDAM";"NLD"
"10-01-2026";"BOL.COM B.V.";"71,25";"AMSTERDAM";"NLD"
"14-01-2026";"COOLBLUE";"139,25";"AMSTERDAM";"NLD"
"20-01-2026";"ZALANDO PAYMENTS";"78,72";"AMSTERDAM";"NLD"
"22-01-2026";"ALBERT HEIJN 1533";"45,95";"AMSTERDAM";"NLD"
"27-01-2026";"PATHE BIOSCOPEN";"27,17";"AMSTERDAM";"NLD"
"28-01-2026";"BETALING ONTVANGEN - HARTELIJK DANK";"-429,47";"AMSTERDAM";"NLD"
"04-02-2026";"NETFLIX.COM";"17,04";"AMSTERDAM";"NLD"
"04-02-2026";"SPOTIFY AB";"12,35";"AMSTERDAM";"NLD"
"05-02-2026";"OPENAI *CHATGPT SUBSCR";"22,48";"AMSTERDAM";"NLD"
"05-02-2026";"ANTHROPIC CLAUDE";"23,03";"AMSTERDAM";"NLD"
"10-02-2026";"BOL.COM B.V.";"95,71";"AMSTERDAM";"NLD"
"14-02-2026";"COOLBLUE";"105,96";"AMSTERDAM";"NLD"
"20-02-2026";"ZALANDO PAYMENTS";"85,17";"AMSTERDAM";"NLD"
"22-02-2026";"ALBERT HEIJN 1533";"40,95";"AMSTERDAM";"NLD"
"27-02-2026";"PATHE BIOSCOPEN";"22,34";"AMSTERDAM";"NLD"
"09-02-2026";"KLM ROYAL DUTCH AIRLINES";"412,00";"AMSTERDAM";"NLD"
"28-02-2026";"BETALING ONTVANGEN - HARTELIJK DANK";"-837,03";"AMSTERDAM";"NLD"
"04-03-2026";"NETFLIX.COM";"14,85";"AMSTERDAM";"NLD"
"04-03-2026";"SPOTIFY AB";"10,78";"AMSTERDAM";"NLD"
"05-03-2026";"OPENAI *CHATGPT SUBSCR";"23,16";"AMSTERDAM";"NLD"
"05-03-2026";"ANTHROPIC CLAUDE";"21,69";"AMSTERDAM";"NLD"
"10-03-2026";"BOL.COM B.V.";"95,62";"AMSTERDAM";"NLD"
"14-03-2026";"COOLBLUE";"121,24";"AMSTERDAM";"NLD"
"20-03-2026";"ZALANDO PAYMENTS";"82,79";"AMSTERDAM";"NLD"
"22-03-2026";"ALBERT HEIJN 1533";"48,09";"AMSTERDAM";"NLD"
"27-03-2026";"PATHE BIOSCOPEN";"23,57";"AMSTERDAM";"NLD"
"28-03-2026";"BETALING ONTVANGEN - HARTELIJK DANK";"-441,79";"AMSTERDAM";"NLD"
"04-04-2026";"NETFLIX.COM";"14,62";"AMSTERDAM";"NLD"
"04-04-2026";"SPOTIFY AB";"10,96";"AMSTERDAM";"NLD"
"05-04-2026";"OPENAI *CHATGPT SUBSCR";"22,24";"AMSTERDAM";"NLD"
"05-04-2026";"ANTHROPIC CLAUDE";"21,80";"AMSTERDAM";"NLD"
"10-04-2026";"BOL.COM B.V.";"87,24";"AMSTERDAM";"NLD"
"14-04-2026";"COOLBLUE";"149,09";"AMSTERDAM";"NLD"
"20-04-2026";"ZALANDO PAYMENTS";"92,25";"AMSTERDAM";"NLD"
"22-04-2026";"ALBERT HEIJN 1533";"36,33";"AMSTERDAM";"NLD"
"27-04-2026";"PATHE BIOSCOPEN";"31,24";"AMSTERDAM";"NLD"
"28-04-2026";"BETALING ONTVANGEN - HARTELIJK DANK";"-465,77";"AMSTERDAM";"NLD"
"04-05-2026";"NETFLIX.COM";"14,00";"AMSTERDAM";"NLD"
"04-05-2026";"SPOTIFY AB";"10,78";"AMSTERDAM";"NLD"
"05-05-2026";"OPENAI *CHATGPT SUBSCR";"27,00";"AMSTERDAM";"NLD"
"05-05-2026";"ANTHROPIC CLAUDE";"22,88";"AMSTERDAM";"NLD"
"10-05-2026";"BOL.COM B.V.";"91,80";"AMSTERDAM";"NLD"
"14-05-2026";"COOLBLUE";"150,31";"AMSTERDAM";"NLD"
"20-05-2026";"ZALANDO PAYMENTS";"109,08";"AMSTERDAM";"NLD"
"22-05-2026";"ALBERT HEIJN 1533";"39,45";"AMSTERDAM";"NLD"
"27-05-2026";"PATHE BIOSCOPEN";"24,75";"AMSTERDAM";"NLD"
"28-05-2026";"BETALING ONTVANGEN - HARTELIJK DANK";"-490,05";"AMSTERDAM";"NLD"
"04-06-2026";"NETFLIX.COM";"13,59";"AMSTERDAM";"NLD"
"04-06-2026";"SPOTIFY AB";"11,74";"AMSTERDAM";"NLD"
"05-06-2026";"OPENAI *CHATGPT SUBSCR";"22,30";"AMSTERDAM";"NLD"
"05-06-2026";"ANTHROPIC CLAUDE";"19,05";"AMSTERDAM";"NLD"
"10-06-2026";"BOL.COM B.V.";"93,95";"AMSTERDAM";"NLD"
"14-06-2026";"COOLBLUE";"125,24";"AMSTERDAM";"NLD"
"20-06-2026";"ZALANDO PAYMENTS";"81,96";"AMSTERDAM";"NLD"
"22-06-2026";"ALBERT HEIJN 1533";"43,86";"AMSTERDAM";"NLD"
"27-06-2026";"PATHE BIOSCOPEN";"27,44";"AMSTERDAM";"NLD"
"16-06-2026";"APPLE STORE AMSTERDAM";"1349,00";"AMSTERDAM";"NLD"
"28-06-2026";"BETALING ONTVANGEN - HARTELIJK DANK";"-1788,13";"AMSTERDAM";"NLD"
"04-07-2026";"NETFLIX.COM";"14,42";"AMSTERDAM";"NLD"
"04-07-2026";"SPOTIFY AB";"11,28";"AMSTERDAM";"NLD"
"05-07-2026";"OPENAI *CHATGPT SUBSCR";"26,64";"AMSTERDAM";"NLD"
"05-07-2026";"ANTHROPIC CLAUDE";"18,27";"AMSTERDAM";"NLD"
"10-07-2026";"BOL.COM B.V.";"75,64";"AMSTERDAM";"NLD"
"14-07-2026";"COOLBLUE";"138,33";"AMSTERDAM";"NLD"
"20-07-2026";"ZALANDO PAYMENTS";"98,28";"AMSTERDAM";"NLD"
"22-07-2026";"ALBERT HEIJN 1533";"37,04";"AMSTERDAM";"NLD"
