Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
TOPUP,Current,2026-01-07 09:12:03,2026-01-07 11:40:55,Top-Up by *4821,300.00,0.00,EUR,COMPLETED,412.90
CARD_PAYMENT,Current,2026-01-09 09:12:03,2026-01-09 11:40:55,Thuisbezorgd.nl,-28.58,0.00,EUR,COMPLETED,412.90
CARD_PAYMENT,Current,2026-01-13 09:12:03,2026-01-13 11:40:55,Starbucks,-4.74,0.00,EUR,COMPLETED,412.90
CARD_PAYMENT,Current,2026-01-15 09:12:03,2026-01-15 11:40:55,NS Groep,-23.24,0.00,EUR,COMPLETED,412.90
CARD_PAYMENT,Current,2026-01-21 09:12:03,2026-01-21 11:40:55,Restaurant De Kas,-83.92,0.00,EUR,COMPLETED,412.90
CARD_PAYMENT,Current,2026-01-26 09:12:03,2026-01-26 11:40:55,Etos,-22.05,0.00,EUR,COMPLETED,412.90
TOPUP,Current,2026-02-07 09:12:03,2026-02-07 11:40:55,Top-Up by *4821,300.00,0.00,EUR,COMPLETED,412.90
CARD_PAYMENT,Current,2026-02-09 09:12:03,2026-02-09 11:40:55,Thuisbezorgd.nl,-23.80,0.00,EUR,COMPLETED,412.90
CARD_PAYMENT,Current,2026-02-13 09:12:03,2026-02-13 11:40:55,Starbucks,-6.53,0.00,EUR,COMPLETED,412.90
CARD_PAYMENT,Current,2026-02-15 09:12:03,2026-02-15 11:40:55,NS Groep,-20.48,0.00,EUR,COMPLETED,412.90
CARD_PAYMENT,Current,2026-02-21 09:12:03,2026-02-21 11:40:55,Restaurant De Kas,-71.02,0.00,EUR,COMPLETED,412.90
CARD_PAYMENT,Current,2026-02-26 09:12:03,2026-02-26 11:40:55,Etos,-17.07,0.00,EUR,COMPLETED,412.90
TOPUP,Current,2026-03-07 09:12:03,2026-03-07 11:40:55,Top-Up by *4821,450.00,0.00,EUR,COMPLETED,412.90
CARD_PAYMENT,Current,2026-03-09 09:12:03,2026-03-09 11:40:55,Thuisbezorgd.nl,-28.34,0.00,EUR,COMPLETED,412.90
CARD_PAYMENT,Current,2026-03-13 09:12:03,2026-03-13 11:40:55,Starbucks,-6.46,0.00,EUR,COMPLETED,412.90
CARD_PAYMENT,Current,2026-03-15 09:12:03,2026-03-15 11:40:55,NS Groep,-18.64,0.00,EUR,COMPLETED,412.90
CARD_PAYMENT,Current,2026-03-21 09:12:03,2026-03-21 11:40:55,Restaurant De Kas,-75.48,0.00,EUR,COMPLETED,412.90
CARD_PAYMENT,Current,2026-03-26 09:12:03,2026-03-26 11:40:55,Etos,-22.27,0.00,EUR,COMPLETED,412.90
TOPUP,Current,2026-04-07 09:12:03,2026-04-07 11:40:55,Top-Up by *4821,300.00,0.00,EUR,COMPLETED,412.90
CARD_PAYMENT,Current,2026-04-09 09:12:03,2026-04-09 11:40:55,Thuisbezorgd.nl,-24.36,0.00,EUR,COMPLETED,412.90
CARD_PAYMENT,Current,2026-04-13 09:12:03,2026-04-13 11:40:55,Starbucks,-6.05,0.00,EUR,COMPLETED,412.90
CARD_PAYMENT,Current,2026-04-15 09:12:03,2026-04-15 11:40:55,NS Groep,-26.22,0.00,EUR,COMPLETED,412.90
CARD_PAYMENT,Current,2026-04-21 09:12:03,2026-04-21 11:40:55,Restaurant De Kas,-63.01,0.00,EUR,COMPLETED,412.90
CARD_PAYMENT,Current,2026-04-26 09:12:03,2026-04-26 11:40:55,Etos,-15.43,0.00,EUR,COMPLETED,412.90
TOPUP,Current,2026-05-07 09:12:03,2026-05-07 11:40:55,Top-Up by *4821,300.00,0.00,EUR,COMPLETED,412.90
CARD_PAYMENT,Current,2026-05-09 09:12:03,2026-05-09 11:40:55,Thuisbezorgd.nl,-23.92,0.00,EUR,COMPLETED,412.90
CARD_PAYMENT,Current,2026-05-13 09:12:03,2026-05-13 11:40:55,Starbucks,-7.12,0.00,EUR,COMPLETED,412.90
CARD_PAYMENT,Current,2026-05-15 09:12:03,2026-05-15 11:40:55,NS Groep,-30.03,0.00,EUR,COMPLETED,412.90
CARD_PAYMENT,Current,2026-05-21 09:12:03,2026-05-21 11:40:55,Restaurant De Kas,-75.13,0.00,EUR,COMPLETED,412.90
CARD_PAYMENT,Current,2026-05-26 09:12:03,2026-05-26 11:40:55,Etos,-23.30,0.00,EUR,COMPLETED,412.90
CARD_PAYMENT,Current,2026-05-12 09:12:03,2026-05-12 11:40:55,Booking.com,-640.00,0.00,EUR,COMPLETED,412.90
REFUND,Current,2026-05-18 09:12:03,2026-05-18 11:40:55,Refund Booking.com,95.00,0.00,EUR,COMPLETED,412.90
TOPUP,Current,2026-06-07 09:12:03,2026-06-07 11:40:55,Top-Up by *4821,300.00,0.00,EUR,COMPLETED,412.90
CARD_PAYMENT,Current,2026-06-09 09:12:03,2026-06-09 11:40:55,Thuisbezorgd.nl,-22.66,0.00,EUR,COMPLETED,412.90
CARD_PAYMENT,Current,2026-06-13 09:12:03,2026-06-13 11:40:55,Starbucks,-6.01,0.00,EUR,COMPLETED,412.90
CARD_PAYMENT,Current,2026-06-15 09:12:03,2026-06-15 11:40:55,NS Groep,-17.79,0.00,EUR,COMPLETED,412.90
CARD_PAYMENT,Current,2026-06-21 09:12:03,2026-06-21 11:40:55,Restaurant De Kas,-92.99,0.00,EUR,COMPLETED,412.90
CARD_PAYMENT,Current,2026-06-26 09:12:03,2026-06-26 11:40:55,Etos,-19.00,0.00,EUR,COMPLETED,412.90
TOPUP,Current,2026-07-07 09:12:03,2026-07-07 11:40:55,Top-Up by *4821,300.00,0.00,EUR,COMPLETED,412.90
CARD_PAYMENT,Current,2026-07-09 09:12:03,2026-07-09 11:40:55,Thuisbezorgd.nl,-30.14,0.00,EUR,COMPLETED,412.90
CARD_PAYMENT,Current,2026-07-13 09:12:03,2026-07-13 11:40:55,Starbucks,-6.67,0.00,EUR,COMPLETED,412.90
